match_id,season,gameweek,home_team,away_team,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
9469,2024/25,6.0,toulouse-fc,olympique-lyonnais,1.0,0.8,1.2,0.8,1.2,68.76,60900000,0.8,1.2,2.2,1.2,2.2,72.74,89500000,0.4049,0.2865,0.3546,A
9470,2024/25,6.0,angers-sco,stade-de-reims,0.4,0.6,1.8,0.6,1.8,0.0,0,1.6,1.4,1.4,1.4,1.4,69.92,48600000,0.289,0.3058,0.4525,A
9471,2024/25,6.0,fc-nantes,saint-etienne,1.6,1.4,0.8,1.4,0.8,69.58,54600000,0.6,0.2,3.0,0.2,3.0,0.0,0,0.5682,0.2681,0.2123,D
9472,2024/25,6.0,rc-strasbourg,olympique-de-marseille,1.2,2.2,2.0,2.2,2.0,69.0,72100000,2.6,3.0,1.2,3.0,1.2,73.85,58850000,0.2882,0.2604,0.4975,H
9473,2024/25,7.0,olympique-de-marseille,angers-sco,2.0,2.0,1.2,2.0,1.2,73.85,58850000,0.4,0.8,2.2,0.8,2.2,0.0,0,0.813,0.1548,0.0792,D
9474,2024/25,7.0,saint-etienne,aja-auxerre,0.8,0.6,3.2,0.6,3.2,0.0,0,0.6,1.2,2.2,1.2,2.2,0.0,0,0.365,0.2899,0.3891,H
9475,2024/25,7.0,lille-osc,toulouse-fc,1.4,1.8,1.4,1.8,1.4,0.0,0,0.8,1.0,1.6,1.0,1.6,68.76,60900000,0.5714,0.2525,0.2198,H
9476,2024/25,7.0,stade-rennais,as-monaco,0.8,1.4,1.8,1.4,1.8,73.39,253175000,2.6,2.2,0.6,2.2,0.6,73.63,257100000,0.3704,0.274,0.4,A
9477,2024/25,7.0,olympique-lyonnais,fc-nantes,1.4,1.6,1.8,1.6,1.8,72.74,89500000,1.6,1.8,1.2,1.8,1.2,69.58,54600000,0.5556,0.2597,0.2288,H
9478,2024/25,7.0,stade-brestois,le-havre,1.2,1.4,1.6,1.4,1.6,0.0,0,1.2,1.2,1.8,1.2,1.8,0.0,0,0.5435,0.2825,0.2198,H
9479,2024/25,7.0,stade-de-reims,montpellier-hsc,2.2,2.0,1.2,2.0,1.2,69.92,48600000,0.6,1.0,3.2,1.0,3.2,0.0,0,0.5495,0.2545,0.2421,H
9480,2024/25,7.0,rc-strasbourg,rc-lens,1.6,2.2,1.8,2.2,1.8,69.0,72100000,1.4,0.8,0.4,0.8,0.4,72.84,82750000,0.3413,0.2915,0.4149,D
9481,2024/25,7.0,ogc-nice,paris-saint-germain,1.6,2.6,0.8,2.6,0.8,73.28,89200000,2.6,3.2,0.8,3.2,0.8,0.0,0,0.2049,0.25,0.5917,D
9482,2024/25,8.0,as-monaco,lille-osc,2.6,2.2,0.8,2.2,0.8,73.63,257100000,1.4,1.8,1.6,1.8,1.6,0.0,0,0.5181,0.2695,0.2571,D
9483,2024/25,8.0,stade-brestois,stade-rennais,1.8,1.8,1.2,1.8,1.2,0.0,0,0.8,1.4,1.6,1.4,1.6,73.39,253175000,0.3413,0.3077,0.3968,D
9484,2024/25,8.0,saint-etienne,rc-lens,1.4,1.2,3.0,1.2,3.0,0.0,0,1.0,0.8,0.8,0.8,0.8,72.84,82750000,0.1972,0.2597,0.5882,A
9485,2024/25,8.0,paris-saint-germain,rc-strasbourg,2.2,2.2,1.0,2.2,1.0,0.0,0,1.2,2.0,2.0,2.0,2.0,69.0,72100000,0.7874,0.1553,0.1024,H
9486,2024/25,8.0,le-havre,olympique-lyonnais,0.6,0.8,2.2,0.8,2.2,0.0,0,2.0,2.0,1.4,2.0,1.4,72.74,89500000,0.2703,0.2762,0.5025,A
9487,2024/25,8.0,aja-auxerre,stade-de-reims,0.6,1.4,2.4,1.4,2.4,0.0,0,2.6,2.4,1.2,2.4,1.2,69.92,48600000,0.3745,0.2865,0.3861,H
9488,2024/25,8.0,fc-nantes,ogc-nice,1.0,1.4,1.6,1.4,1.6,69.58,54600000,1.6,2.6,0.8,2.6,0.8,73.28,89200000,0.3165,0.3155,0.4167,D
9489,2024/25,8.0,toulouse-fc,angers-sco,0.6,1.0,1.8,1.0,1.8,68.76,60900000,0.6,1.0,2.0,1.0,2.0,0.0,0,0.6329,0.2571,0.1621,D
9490,2024/25,8.0,montpellier-hsc,olympique-de-marseille,0.6,1.4,2.8,1.4,2.8,0.0,0,2.0,1.8,1.0,1.8,1.0,73.85,58850000,0.2347,0.2463,0.5682,A
9491,2024/25,9.0,stade-rennais,le-havre,1.0,1.4,1.4,1.4,1.4,73.39,253175000,0.0,0.2,2.8,0.2,2.8,0.0,0,0.6711,0.232,0.1391,H
9492,2024/25,9.0,angers-sco,saint-etienne,0.8,1.0,1.4,1.0,1.4,0.0,0,1.4,1.2,2.6,1.2,2.6,0.0,0,0.4098,0.3077,0.3279,H
9493,2024/25,9.0,stade-de-reims,stade-brestois,2.0,2.2,1.4,2.2,1.4,69.92,48600000,1.4,1.2,1.4,1.2,1.4,0.0,0,0.4566,0.2833,0.3067,A
9494,2024/25,9.0,rc-lens,lille-osc,1.4,1.0,0.6,1.0,0.6,72.84,82750000,1.6,1.6,1.0,1.6,1.0,0.0,0,0.4274,0.2976,0.3226,A
9495,2024/25,9.0,olympique-lyonnais,aja-auxerre,2.0,2.0,0.8,2.0,0.8,72.74,89500000,1.2,1.6,2.0,1.6,2.0,0.0,0,0.6711,0.2079,0.1715,D
9496,2024/25,9.0,montpellier-hsc,toulouse-fc,0.6,1.2,3.2,1.2,3.2,0.0,0,0.8,1.0,1.4,1.0,1.4,68.76,60900000,0.3175,0.277,0.4545,A
9497,2024/25,9.0,ogc-nice,as-monaco,1.2,2.0,0.8,2.0,0.8,73.28,89200000,2.6,2.0,0.6,2.0,0.6,73.63,257100000,0.3125,0.2874,0.4484,H
9498,2024/25,9.0,rc-strasbourg,fc-nantes,1.2,1.8,2.0,1.8,2.0,69.0,72100000,0.6,1.0,1.6,1.0,1.6,69.58,54600000,0.5319,0.2732,0.2427,H
9499,2024/25,9.0,olympique-de-marseille,paris-saint-germain,2.0,2.2,0.8,2.2,0.8,73.85,58850000,2.2,2.4,1.2,2.4,1.2,0.0,0,0.274,0.2551,0.5181,A
