match_id,season,gameweek,status,home_team,away_team,home_elo,away_elo,elo_diff,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
82,1999/00,,finished,fc-nantes,olympique-lyonnais,1456.9,1576.7,-119.79999999999995,0.8,1.0,1.4,1.0,1.4,69.58,54600000,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,H
83,1999/00,,finished,aj-auxerre,rc-strasbourg,1507.9,1491.3,16.600000000000136,0.0,0.0,0.0,0.0,0.0,0.0,0,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,A
84,1999/00,,finished,olympique-lyonnais,olympique-de-marseille,1555.4,1470.9,84.5,2.0,2.0,1.4,2.0,1.4,72.74,89500000,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,H
85,1999/00,,finished,rc-strasbourg,as-monaco,1508.1,1566.8,-58.700000000000045,1.4,1.4,1.6,1.4,1.6,69.0,72100000,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,H
86,1999/00,,finished,fc-nantes,rc-strasbourg,1478.2,1526.8,-48.59999999999991,0.8,1.0,1.4,1.0,1.4,69.58,54600000,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,H
87,1999/00,,finished,aj-auxerre,as-monaco,1491.2,1548.1,-56.899999999999864,0.0,0.0,0.0,0.0,0.0,0.0,0,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,A
88,1999/00,,finished,rc-strasbourg,olympique-de-marseille,1508.5,1458.7,49.799999999999955,1.4,1.4,1.6,1.4,1.6,69.0,72100000,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,H
89,1999/00,,finished,as-monaco,fc-nantes,1561.5,1496.4,65.09999999999991,1.6,1.6,1.4,1.6,1.4,73.63,257100000,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,H
90,1999/00,,finished,stade-rennais,rc-lens,1459.6,1494.3,-34.700000000000045,2.4,2.6,1.8,2.6,1.8,73.39,253175000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,H
91,1999/00,,finished,olympique-de-marseille,as-monaco,1445.0,1574.5,-129.5,0.8,0.8,1.6,0.8,1.6,73.85,58850000,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,H
92,1999/00,,finished,aj-auxerre,fc-nantes,1477.8,1483.4,-5.600000000000136,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8,1.0,1.4,1.0,1.4,69.58,54600000,,,,D
93,1999/00,,finished,rc-lens,fc-metz,1476.7,1503.6,-26.899999999999864,1.6,1.6,1.6,1.6,1.6,72.84,82750000,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,H
94,1999/00,,finished,paris-saint-germain,rc-lens,1501.6,1494.0,7.599999999999909,2.4,2.0,0.4,2.0,0.4,0.0,0,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,H
95,1999/00,,finished,fc-nantes,olympique-de-marseille,1483.1,1466.7,16.399999999999864,0.8,1.0,1.4,1.0,1.4,69.58,54600000,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,D
96,1999/00,,finished,rc-lens,olympique-lyonnais,1478.3,1567.6,-89.29999999999995,1.6,1.6,1.6,1.6,1.6,72.84,82750000,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,H
97,1999/00,,finished,aj-auxerre,olympique-de-marseille,1478.0,1467.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,D
98,1999/00,,finished,aj-auxerre,stade-rennais,1477.5,1477.2,0.2999999999999545,0.0,0.0,0.0,0.0,0.0,0.0,0,2.4,2.6,1.8,2.6,1.8,73.39,253175000,,,,H
99,1999/00,,finished,rc-lens,rc-strasbourg,1498.4,1522.3,-23.899999999999864,1.6,1.6,1.6,1.6,1.6,72.84,82750000,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,H
100,1999/00,,finished,stade-rennais,fc-metz,1461.2,1486.4,-25.200000000000045,2.4,2.6,1.8,2.6,1.8,73.39,253175000,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,H
101,2000/01,,finished,paris-saint-germain,rc-strasbourg,1517.3,1505.2,12.099999999999909,2.4,2.0,0.4,2.0,0.4,0.0,0,1.4,1.4,1.6,1.4,1.6,69.0,72100000,,,,H
102,2000/01,,finished,losc-lille,as-monaco,1500.0,1552.8,-52.799999999999955,0.0,0.0,0.0,0.0,0.0,72.18,86050000,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,D
103,2000/01,,finished,olympique-lyonnais,stade-rennais,1547.6,1478.4,69.19999999999982,2.0,2.0,1.4,2.0,1.4,72.74,89500000,2.4,2.6,1.8,2.6,1.8,73.39,253175000,,,,D
104,2000/01,,finished,fc-nantes,rc-lens,1482.4,1515.5,-33.09999999999991,0.8,1.0,1.4,1.0,1.4,69.58,54600000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,A
